SEQNO,RouteID,LineID,ServiceDays,SpecialDays,OperationTime,Headways,UpdateTime
1,'BR-1','BR',"'{'平日',1,1,1,1,1,0,0,0}'","'{{''},{'',''},'',''}'","'{'06:00','24:00'}'","'{0,'06:00','07:00',4,10},{1,'07:00','09:00',2,4},{0,'09:00','17:00',4,10},{1,'17:00','19:30',2,4},{0,'19:30','23:00',4,10},{0,'23:00','00:00',12,12}'",20220827
2,'BR-1','BR',"'{'假日',0,0,0,0,0,1,1,1}'","'{{''},{'',''},'',''}'","'{'06:00','24:00'}'","'{0,'06:00','23:00',4,10},{0,'23:00','00:00',12,12}'",20220827
3,'R-1','R',"'{'平日',1,1,1,1,1,0,0,0}'","'{{''},{'',''},'',''}'","'{'06:00','24:00'}'","'{0,'06:00','07:00',8,10},{1,'07:00','09:00',6,6},{0,'09:00','17:00',8,10},{1,'17:00','19:30',6,6},{0,'19:30','23:00',8,10},{0,'23:00','00:00',12,12}'",20220827
4,'R-1','R',"'{'假日',0,0,0,0,0,1,1,1}'","'{{''},{'',''},'',''}'","'{'06:00','24:00'}'","'{0,'06:00','08:00',8,10},{0,'08:00','23:00',8,10},{0,'23:00','00:00',12,12}'",20241023
5,'R-2','R',"'{'平日',1,1,1,1,1,0,0,0}'","'{{''},{'',''},'',''}'","'{'06:00','24:00'}'","'{0,'06:00','07:00',8,10},{1,'07:00','09:00',6,6},{0,'09:00','17:00',8,10},{1,'17:00','19:30',6,6},{0,'19:30','23:00',8,10},{0,'23:00','00:00',0,0}'",20220827
6,'R-2','R',"'{'假日',0,0,0,0,0,1,1,1}'","'{{''},{'',''},'',''}'","'{'06:00','24:00'}'","'{0,'06:00','08:00',0,0},{0,'08:00','23:00',8,10},{0,'23:00','00:00',0,0}'",20241023
7,'R-3','R',"'{'平日',1,1,1,1,1,0,0,0}'","'{{''},{'',''},'',''}'","'{'06:00','24:00'}'","'{0,'06:00','06:30',12,15},{1,'06:30','09:00',7,8},{0,'09:00','17:00',10,10},{1,'17:00','19:30',7,8},{0,'19:30','23:00',8,10},{0,'23:00','00:00',12,15}'",20220827
8,'R-3','R',"'{'假日',0,0,0,0,0,1,1,1}'","'{{''},{'',''},'',''}'","'{'06:00','24:00'}'","'{0,'06:00','23:00',10,12},{0,'23:00','00:00',12,15}'",20220827
9,'G-1','G',"'{'平日',1,1,1,1,1,0,0,0}'","'{{''},{'',''},'',''}'","'{'06:00','24:00'}'","'{0,'06:00','07:00',6,8},{1,'07:00','09:00',4,6},{0,'09:00','17:00',6,8},{1,'17:00','19:30',4,6},{0,'19:30','23:00',6,8},{0,'23:00','00:00',12,12}'",20220827
10,'G-1','G',"'{'假日',0,0,0,0,0,1,1,1}'","'{{''},{'',''},'',''}'","'{'06:00','24:00'}'","'{0,'06:00','09:00',8,10},{0,'09:00','23:00',6,8},{0,'23:00','00:00',12,12}'",20220827
11,'G-2','G',"'{'平日',1,1,1,1,1,0,0,0}'","'{{''},{'',''},'',''}'","'{'06:00','24:00'}'","'{0,'06:00','07:00',0,0},{1,'07:00','09:00',4,6},{0,'09:00','17:00',0,0},{1,'17:00','19:30',4,6},{0,'19:30','23:00',0,0},{0,'23:00','00:00',0,0}'",20220827
12,'G-2','G',"'{'假日',0,0,0,0,0,1,1,1}'","'{{''},{'',''},'',''}'","'{'06:00','24:00'}'","'{0,'06:00','09:00',0,0},{0,'09:00','23:00',0,0},{0,'23:00','00:00',0,0}'",20220827
13,'G-3','G',"'{'平日',1,1,1,1,1,0,0,0}'","'{{''},{'',''},'',''}'","'{'06:00','24:00'}'","'{0,'06:00','00:00',12,20}'",20220827
14,'G-3','G',"'{'假日',0,0,0,0,0,1,1,1}'","'{{''},{'',''},'',''}'","'{'06:00','24:00'}'","'{0,'06:00','00:00',12,20}'",20220827
15,'O-1','O',"'{'平日',1,1,1,1,1,0,0,0}'","'{{''},{'',''},'',''}'","'{'06:00','24:00'}'","'{0,'06:00','07:00',9,10},{1,'07:00','09:00',6,6},{0,'09:00','17:00',9,10},{1,'17:00','19:30',6,6},{0,'19:30','23:00',9,10},{0,'23:00','00:00',12,12}'",20220827
16,'O-1','O',"'{'假日',0,0,0,0,0,1,1,1}'","'{{''},{'',''},'',''}'","'{'06:00','24:00'}'","'{0,'06:00','23:00',9,10},{0,'23:00','00:00',12,12}'",20220827
17,'O-2','O',"'{'平日',1,1,1,1,1,0,0,0}'","'{{''},{'',''},'',''}'","'{'06:00','24:00'}'","'{0,'06:00','07:00',9,10},{1,'07:00','09:00',6,6},{0,'09:00','17:00',9,10},{1,'17:00','19:30',6,6},{0,'19:30','23:00',9,10},{0,'23:00','00:00',12,12}'",20220827
18,'O-2','O',"'{'假日',0,0,0,0,0,1,1,1}'","'{{''},{'',''},'',''}'","'{'06:00','24:00'}'","'{0,'06:00','23:00',9,10},{0,'23:00','00:00',12,12}'",20220827
