SeqNo,stationbus,stationA,stationB,traveltime,SeqNo,stoptime,UpdateTime,EffectiveDate
1,淡水-廣慈/奉天宮,捷運淡水站,捷運紅樹林站,175,1,0,20260830,20260830
2,淡水-廣慈/奉天宮,捷運紅樹林站,捷運竹圍站,142,2,27,20260830,20260830
3,淡水-廣慈/奉天宮,捷運竹圍站,捷運關渡站,150,3,27,20260830,20260830
4,淡水-廣慈/奉天宮,捷運關渡站,捷運忠義站,80,4,27,20260830,20260830
5,淡水-廣慈/奉天宮,捷運忠義站,捷運復興崗站,117,5,27,20260830,20260830
6,淡水-廣慈/奉天宮,捷運復興崗站,捷運北投站,135,6,27,20260830,20260830
7,淡水-廣慈/奉天宮,捷運北投站,捷運奇岩站,91,7,27,20260830,20260830
8,淡水-廣慈/奉天宮,捷運奇岩站,捷運唭哩岸站,75,8,27,20260830,20260830
9,淡水-廣慈/奉天宮,捷運唭哩岸站,捷運石牌站,109,9,27,20260830,20260830
10,淡水-廣慈/奉天宮,捷運石牌站,捷運明德站,63,10,27,20260830,20260830
11,淡水-廣慈/奉天宮,捷運明德站,捷運芝山站,79,11,27,20260830,20260830
12,淡水-廣慈/奉天宮,捷運芝山站,捷運士林站,94,12,27,20260830,20260830
13,淡水-廣慈/奉天宮,捷運士林站,捷運劍潭站,101,13,27,20260830,20260830
14,淡水-廣慈/奉天宮,捷運劍潭站,捷運圓山站,114,14,27,20260830,20260830
15,淡水-廣慈/奉天宮,捷運圓山站,捷運民權西路站,90,15,27,20260830,20260830
16,淡水-廣慈/奉天宮,捷運民權西路站,捷運雙連站,60,16,30,20260830,20260830
17,淡水-廣慈/奉天宮,捷運雙連站,捷運中山站,62,17,30,20260830,20260830
18,淡水-廣慈/奉天宮,捷運中山站,捷運台北車站,68,18,30,20260830,20260830
19,淡水-廣慈/奉天宮,捷運台北車站,捷運台大醫院站,67,19,35,20260830,20260830
20,淡水-廣慈/奉天宮,捷運台大醫院站,捷運中正紀念堂站,95,20,27,20260830,20260830
21,淡水-廣慈/奉天宮,捷運中正紀念堂站,捷運東門站,175,21,30,20260830,20260830
22,淡水-廣慈/奉天宮,捷運東門站,捷運大安森林公園站,75,22,30,20260830,20260830
23,淡水-廣慈/奉天宮,捷運大安森林公園站,捷運大安站,74,23,27,20260830,20260830
24,淡水-廣慈/奉天宮,捷運大安站,捷運信義安和站,90,24,30,20260830,20260830
25,淡水-廣慈/奉天宮,捷運信義安和站,捷運台北101/世貿站,83,25,27,20260830,20260830
26,淡水-廣慈/奉天宮,捷運台北101/世貿站,捷運象山站,69,26,27,20260830,20260830
27,淡水-廣慈/奉天宮,捷運象山站,捷運廣慈/奉天宮站,150,27,27,20260830,20260830
28,北投-大安,捷運北投站,捷運奇岩站,91,1,0,20260830,20260830
29,北投-大安,捷運奇岩站,捷運唭哩岸站,75,2,27,20260830,20260830
30,北投-大安,捷運唭哩岸站,捷運石牌站,109,3,27,20260830,20260830
31,北投-大安,捷運石牌站,捷運明德站,63,4,27,20260830,20260830
32,北投-大安,捷運明德站,捷運芝山站,79,5,27,20260830,20260830
33,北投-大安,捷運芝山站,捷運士林站,94,6,27,20260830,20260830
