year,area,age20~29,age30~34
2000,新北市,628142,311059
2000,板橋區,100126,40746
2000,三重區,72672,31616
2000,中和區,72781,34161
2000,永和區,36835,17954
2000,新莊區,67949,30408
2000,新店區,42426,24550
2000,樹林區,27079,13165
2000,鶯歌區,14525,6717
2000,三峽區,13049,8020
2000,淡水區,19516,11788
2000,汐止區,26620,18921
2000,瑞芳區,8037,4211
2000,土城區,37962,20947
2000,蘆洲區,27943,15379
2000,五股區,12003,6932
2000,泰山區,11643,4860
2000,林口區,7958,4886
2000,深坑區,3351,2139
2000,石碇區,1111,608
2000,坪林區,911,533
2000,三芝區,3826,2152
2000,石門區,2068,905
2000,八里區,4917,2959
2000,平溪區,860,538
2000,雙溪區,1684,812
2000,貢寮區,2507,1245
2000,金山區,3920,1946
2000,萬里區,3143,1648
2000,烏來區,720,313
2001,新北市,643122,310135
2001,板橋區,102864,41472
2001,三重區,74003,31596
2001,中和區,74550,34759
2001,永和區,37144,17931
2001,新莊區,70548,30244
2001,新店區,43046,24742
2001,樹林區,28102,12996
2001,鶯歌區,15094,6705
2001,三峽區,13092,7774
2001,淡水區,20107,11966
2001,汐止區,26891,18587
2001,瑞芳區,7856,4021
2001,土城區,38883,20137
2001,蘆洲區,29247,15158
2001,五股區,12108,6730
2001,泰山區,12007,4785
2001,林口區,8059,4787
2001,深坑區,3299,2099
2001,石碇區,1121,608
2001,坪林區,904,537
2001,三芝區,3836,2099
2001,石門區,2164,912
2001,八里區,5070,2930
2001,平溪區,955,580
2001,雙溪區,1788,839
2001,貢寮區,2459,1269
2001,金山區,3989,1911
2001,萬里區,3121,1606
2001,烏來區,815,355
2002,新北市,655907,311133
2002,板橋區,105053,42869
2002,三重區,74897,31736
2002,中和區,76044,35189
2002,永和區,37543,17964
2002,新莊區,72962,30493
2002,新店區,43636,24851
2002,樹林區,28987,12921
2002,鶯歌區,15539,6726
2002,三峽區,13106,7524
2002,淡水區,20358,11980
2002,汐止區,26828,18054
2002,瑞芳區,7675,3918
2002,土城區,40060,19904
2002,蘆洲區,30589,15049
2002,五股區,12574,6623
2002,泰山區,12480,4867
2002,林口區,8176,4778
2002,深坑區,3384,2005
2002,石碇區,1071,599
2002,坪林區,903,566
2002,三芝區,3812,2081
2002,石門區,2166,960
2002,八里區,5122,2933
2002,平溪區,859,511
2002,雙溪區,1712,812
2002,貢寮區,2513,1380
2002,金山區,3943,1879
2002,萬里區,3079,1600
2002,烏來區,836,361
2003,新北市,666348,310234
2003,板橋區,106696,43870
2003,三重區,75433,31650
2003,中和區,76804,35498
2003,永和區,37737,18089
2003,新莊區,74724,30539
2003,新店區,44372,24972
2003,樹林區,29652,12817
2003,鶯歌區,15792,6566
2003,三峽區,13189,7339
2003,淡水區,20671,11814
2003,汐止區,27315,17432
2003,瑞芳區,7477,3742
2003,土城區,41514,19362
2003,蘆洲區,31755,14953
2003,五股區,12793,6491
2003,泰山區,13238,5254
2003,林口區,8142,4666
2003,深坑區,3422,1910
2003,石碇區,1071,561
2003,坪林區,878,541
2003,三芝區,3785,2019
2003,石門區,2096,956
2003,八里區,5222,2787
2003,平溪區,805,469
2003,雙溪區,1628,761
2003,貢寮區,2297,1347
2003,金山區,3874,1856
2003,萬里區,3131,1580
2003,烏來區,835,393
2004,新北市,671934,309290
2004,板橋區,107130,44578
2004,三重區,75076,31610
2004,中和區,77072,35659
2004,永和區,37602,18266
2004,新莊區,75809,30886
2004,新店區,45181,24672
2004,樹林區,30020,12619
2004,鶯歌區,16032,6506
2004,三峽區,13385,7002
2004,淡水區,20692,11801
2004,汐止區,27537,16729
2004,瑞芳區,7277,3491
2004,土城區,42463,18804
2004,蘆洲區,33020,15177
2004,五股區,12986,6408
2004,泰山區,13706,5762
2004,林口區,8272,4615
2004,深坑區,3438,1831
2004,石碇區,1060,532
2004,坪林區,848,525
2004,三芝區,3703,1940
2004,石門區,2027,959
2004,八里區,5315,2711
2004,平溪區,763,414
2004,雙溪區,1574,750
2004,貢寮區,2171,1336
2004,金山區,3844,1806
2004,萬里區,3093,1498
2004,烏來區,838,403
2005,新北市,671937,309752
2005,板橋區,106060,45226
2005,三重區,74235,31530
2005,中和區,76625,35768
2005,永和區,37353,18356
2005,新莊區,75966,31522
2005,新店區,45163,24237
2005,樹林區,30168,12540
2005,鶯歌區,16164,6632
2005,三峽區,13698,6878
2005,淡水區,20604,11479
2005,汐止區,27518,16185
2005,瑞芳區,7004,3336
2005,土城區,42957,18372
2005,蘆洲區,33677,15563
2005,五股區,13212,6423
2005,泰山區,13928,6291
2005,林口區,8647,4699
2005,深坑區,3491,1745
2005,石碇區,1052,565
2005,坪林區,904,530
2005,三芝區,3637,1874
2005,石門區,2026,1012
2005,八里區,5372,2654
2005,平溪區,902,458
2005,雙溪區,1635,733
2005,貢寮區,2115,1343
2005,金山區,3784,1820
2005,萬里區,3144,1562
2005,烏來區,896,419
2006,新北市,655092,322503
2006,板橋區,102243,47772
2006,三重區,71587,32991
2006,中和區,74076,37203
2006,永和區,35902,19123
2006,新莊區,74500,33553
2006,新店區,43962,24545
2006,樹林區,29873,13208
2006,鶯歌區,15931,6848
2006,三峽區,13796,7263
2006,淡水區,20078,11636
2006,汐止區,27110,16372
2006,瑞芳區,6723,3290
2006,土城區,42314,18861
2006,蘆洲區,33475,16309
2006,五股區,12930,6516
2006,泰山區,13918,7176
2006,林口區,8890,5199
2006,深坑區,3414,1734
2006,石碇區,1008,529
2006,坪林區,847,493
2006,三芝區,3540,1793
2006,石門區,1953,1027
2006,八里區,5310,2736
2006,平溪區,717,412
2006,雙溪區,1410,696
2006,貢寮區,1955,1285
2006,金山區,3682,1844
2006,萬里區,3041,1636
2006,烏來區,907,453
2007,新北市,646667,331334
2007,板橋區,99888,49507
2007,三重區,70120,33827
2007,中和區,72046,37977
2007,永和區,34813,19345
2007,新莊區,73685,35461
2007,新店區,43351,24197
2007,樹林區,30019,13870
2007,鶯歌區,15816,7083
