area,lat,lon
新北市,25.011997,121.4656619
板橋區,25.0096703,121.4590989
三重區,25.061486,121.488102
中和區,24.999397,121.49898
永和區,25.009235,121.5200703
新莊區,25.0357722,121.4502478
新店區,24.9673935,121.5419418
樹林區,24.9907063,121.4205326
鶯歌區,24.9599449,121.3537712
三峽區,24.9343387,121.368905
淡水區,25.1813044,121.4531477
汐止區,25.0641586,121.6587475
瑞芳區,25.1089107,121.8097683
土城區,24.972201,121.443348
蘆洲區,25.084923,121.4737
五股區,25.082743,121.438156
泰山區,25.058864,121.4308111
林口區,25.0775308,121.3916021
深坑區,25.002329,121.61567
石碇區,24.9916787,121.6585671
坪林區,24.937388,121.711185
三芝區,25.258047,121.500866
石門區,25.2912996,121.5676837
八里區,25.1456917,121.4035113
平溪區,25.025797,121.739144
雙溪區,25.033409,121.865676
貢寮區,25.0220426,121.9100822
金山區,25.221883,121.6361852
萬里區,25.181234,121.688687
烏來區,24.8639758,121.5512547
