行政區,人口資料年度,18-35歲估算人口_人,流感合約院所數_所,每萬名青年合約院所數_所,每所院所對應青年數_人,服務補強排序,衛生所一般疫苗門診,衛生所卡介苗門診,判讀說明,資料限制,人口API,流感院所API,衛生所API
鶯歌區,2024,20978,5,2.38,4196,1,週一三四上午08:30-11:30,週四上午09:00-11:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
五股區,2024,23087,9,3.9,2565,2,週一四上午08:30~11:30,每月第二及第四週的星期四上午09:00~11:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
八里區,2024,10113,4,3.96,2528,3,週三上午08:30~11:30,週三上午09:00~11:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
三芝區,2024,4745,2,4.21,2373,4,週三上午09:00~11:30,每月第一週三上午09:00~11:30,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
石門區,2024,2340,1,4.27,2340,5,週二上午08:30~11:30,每月第二週週二上午09:00~11:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
金山區,2024,4411,2,4.53,2206,6,"週二上午09:00~12:00
週二下午2:00~4:00",每月最後一週週二下午14:00~16:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
樹林區,2024,40750,21,5.15,1940,7,週一三五上午08:30~11:00,週四上午09:00~11:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
瑞芳區,2024,7582,4,5.28,1896,8,"週一三五上午08:30~11:30
週一三五下午1:30~4:00",週一上午09:00~11:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
汐止區,2024,46073,25,5.43,1843,9,週一至週五上午08:30~11:30,週四上午08:30~10:00前掛號,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
貢寮區,2024,1834,1,5.45,1834,10,週五上午08:30~11:30,每月第一週週五上午10:00~12:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
淡水區,2024,41993,23,5.48,1826,11,"週一三五上午8:30~11:30
週一三五下午2:00~4:00",週四上午09:00~11:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
烏來區,2024,1483,1,6.74,1483,12,"週一至週五上午08:30-11:30
週一至週五下午01:30~04:30",週四上午09:30-11:30,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
林口區,2024,28056,19,6.77,1477,13,週一四五上午08:30~11:00,週四上午08:30~10:30,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
石碇區,2024,1385,1,7.22,1385,14,週四上午08:30~12:00,週四上午09:00~11:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
新店區,2024,62190,45,7.24,1382,15,週一至週五上午08:30-11:30,週四上午09:30~11:30,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
萬里區,2024,4125,3,7.27,1375,16,週二下午1:00~4:30,每月第二週週二下午2:00-4:00,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
中和區,2024,81727,61,7.46,1340,17,週一至週五上午08:30~11:30,週四上午09:30~11:30,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
泰山區,2024,17297,13,7.52,1331,18,週一三五上午08:30~11:30,週三上午08:30~10:30,排序越前表示每所流感合約院所分攤的18-35歲估算人口越多,公開API沒有各區18-35歲實際接種人數，因此本表不是疫苗施打率,https://data.ntpc.gov.tw/api/datasets/8308ab58-62d1-424e-8314-24b65b7ab492/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/551cd3f4-534a-45cf-976a-359090fb7df6/json?page=0&size=10000,https://data.ntpc.gov.tw/api/datasets/781ed216-be0d-4a31-a3e3-bc8f6fe2b221/json?page=0&size=10000
