"LineID","Sequence","StationID","StationName","CumulativeDistance","UpdateTime"
"Y","1","Y07","大坪林","0","2023/6/30 上午 12:00:00"
"Y","2","Y08","十四張","1.55","2023/6/30 上午 12:00:00"
"Y","3","Y09","秀朗橋","2.43","2023/6/30 上午 12:00:00"
"Y","4","Y10","景平","3.34","2023/6/30 上午 12:00:00"
"Y","5","Y11","景安","4.42","2023/6/30 上午 12:00:00"
"Y","6","Y12","中和","5.94","2023/6/30 上午 12:00:00"
"Y","7","Y13","橋和","6.57","2023/6/30 上午 12:00:00"
"Y","8","Y14","中原","7.32","2023/6/30 上午 12:00:00"
"Y","9","Y15","板新","8.72","2023/6/30 上午 12:00:00"
"Y","10","Y16","板橋","9.62","2023/6/30 上午 12:00:00"
"Y","11","Y17","新埔民生","11.04","2023/6/30 上午 12:00:00"
"Y","12","Y18","頭前庄","12.67","2023/6/30 上午 12:00:00"
"Y","13","Y19","幸福","13.82","2023/6/30 上午 12:00:00"
"Y","14","Y20","新北產業園區","15.06","2023/6/30 上午 12:00:00"
