"StationID","StationName","Longitude","Latitude","Address","District","UpdateTime"
"Y07","大坪林","121.54134","24.98272","23143新北市新店區北新路3段190號","新店區","2023/10/17 上午 12:00:00"
"Y08","十四張","121.527698","24.984333","23141新北市新店區民權路282號","新店區","2023/10/17 上午 12:00:00"
"Y09","秀朗橋","121.525051","24.990549","23582新北市中和區景平路2號","中和區","2023/10/17 上午 12:00:00"
"Y10","景平","121.516386","24.992143","23578新北市中和區景平路121號","中和區","2023/10/17 上午 12:00:00"
"Y11","景安","121.505114","24.99392","23582新北市中和區景平路486號","中和區","2023/10/17 上午 12:00:00"
"Y12","中和","121.495978","25.002382","23558新北市中和區中山路二段271號","中和區","2023/10/17 上午 12:00:00"
"Y13","橋和","121.490461","25.004413","23557新北市中和區板南路430號","中和區","2023/10/17 上午 12:00:00"
"Y14","中原","121.484159","25.00841","23556新北市中和區板南路510號","中和區","2023/10/17 上午 12:00:00"
"Y15","板新","121.472269","25.014436","22066新北市板橋區板新路109號","板橋區","2023/10/17 上午 12:00:00"
"Y16","板橋","121.464825","25.015156","22041新北市板橋區新站路66號","板橋區","2023/10/17 上午 12:00:00"
"Y17","新埔民生","121.466831","25.026282","22047新北市板橋區民生路3段70號","板橋區","2023/10/17 上午 12:00:00"
"Y18","頭前庄","121.460479","25.039862","24251新北市新莊區思源路18號B1","新莊區","2023/10/17 上午 12:00:00"
"Y19","幸福","121.45998","25.049984","24250新北市新莊區思源路292號","新莊區","2023/10/17 上午 12:00:00"
"Y20","新北產業園區","121.459926","25.061548","24886新北市新莊區五工路35號","新莊區","2023/10/17 上午 12:00:00"
