年度,縣市代碼,縣市鄉鎮,死因代碼,死亡原因,性別代碼,性別,年齡代碼,年齡,死亡數
97,3101,臺北縣板橋市,002,結核病,1,男,7,60-69歲,1
97,3101,臺北縣板橋市,002,結核病,1,男,8,70-79歲,2
97,3101,臺北縣板橋市,002,結核病,1,男,9,80-89歲,4
97,3101,臺北縣板橋市,002,結核病,2,女,9,80-89歲,3
97,3101,臺北縣板橋市,003,敗血症,1,男,3,20-29歲,4
97,3101,臺北縣板橋市,003,敗血症,1,男,4,30-39歲,1
97,3101,臺北縣板橋市,003,敗血症,1,男,5,40-49歲,1
97,3101,臺北縣板橋市,003,敗血症,1,男,6,50-59歲,5
97,3101,臺北縣板橋市,003,敗血症,1,男,7,60-69歲,3
97,3101,臺北縣板橋市,003,敗血症,1,男,8,70-79歲,6
97,3101,臺北縣板橋市,003,敗血症,1,男,9,80-89歲,10
97,3101,臺北縣板橋市,003,敗血症,1,男,10,90-99歲,2
97,3101,臺北縣板橋市,003,敗血症,2,女,2,10-19歲,1
97,3101,臺北縣板橋市,003,敗血症,2,女,3,20-29歲,1
97,3101,臺北縣板橋市,003,敗血症,2,女,5,40-49歲,1
97,3101,臺北縣板橋市,003,敗血症,2,女,7,60-69歲,3
97,3101,臺北縣板橋市,003,敗血症,2,女,8,70-79歲,1
97,3101,臺北縣板橋市,003,敗血症,2,女,9,80-89歲,5
97,3101,臺北縣板橋市,003,敗血症,2,女,10,90-99歲,2
97,3101,臺北縣板橋市,005,病毒性肝炎,1,男,5,40-49歲,1
97,3101,臺北縣板橋市,005,病毒性肝炎,1,男,6,50-59歲,3
97,3101,臺北縣板橋市,005,病毒性肝炎,2,女,5,40-49歲,1
97,3101,臺北縣板橋市,006,其餘的特定感染症及寄生蟲疾病,1,男,4,30-39歲,1
97,3101,臺北縣板橋市,006,其餘的特定感染症及寄生蟲疾病,1,男,5,40-49歲,1
97,3101,臺北縣板橋市,006,其餘的特定感染症及寄生蟲疾病,1,男,6,50-59歲,1
97,3101,臺北縣板橋市,006,其餘的特定感染症及寄生蟲疾病,1,男,8,70-79歲,3
97,3101,臺北縣板橋市,006,其餘的特定感染症及寄生蟲疾病,1,男,9,80-89歲,2
97,3101,臺北縣板橋市,006,其餘的特定感染症及寄生蟲疾病,1,男,10,90-99歲,1
97,3101,臺北縣板橋市,006,其餘的特定感染症及寄生蟲疾病,2,女,4,30-39歲,2
97,3101,臺北縣板橋市,007,口腔惡性腫瘤,1,男,4,30-39歲,1
97,3101,臺北縣板橋市,007,口腔惡性腫瘤,1,男,5,40-49歲,13
97,3101,臺北縣板橋市,007,口腔惡性腫瘤,1,男,6,50-59歲,15
97,3101,臺北縣板橋市,007,口腔惡性腫瘤,1,男,7,60-69歲,9
97,3101,臺北縣板橋市,007,口腔惡性腫瘤,1,男,8,70-79歲,4
97,3101,臺北縣板橋市,007,口腔惡性腫瘤,1,男,9,80-89歲,2
97,3101,臺北縣板橋市,007,口腔惡性腫瘤,2,女,6,50-59歲,1
97,3101,臺北縣板橋市,007,口腔惡性腫瘤,2,女,7,60-69歲,1
97,3101,臺北縣板橋市,007,口腔惡性腫瘤,2,女,9,80-89歲,1
97,3101,臺北縣板橋市,008,主唾液腺惡性腫瘤,2,女,4,30-39歲,1
97,3101,臺北縣板橋市,008,主唾液腺惡性腫瘤,2,女,6,50-59歲,1
97,3101,臺北縣板橋市,008,主唾液腺惡性腫瘤,2,女,7,60-69歲,1
97,3101,臺北縣板橋市,009,鼻咽惡性腫瘤,1,男,4,30-39歲,1
97,3101,臺北縣板橋市,009,鼻咽惡性腫瘤,1,男,5,40-49歲,4
97,3101,臺北縣板橋市,009,鼻咽惡性腫瘤,1,男,6,50-59歲,4
97,3101,臺北縣板橋市,009,鼻咽惡性腫瘤,1,男,7,60-69歲,1
97,3101,臺北縣板橋市,009,鼻咽惡性腫瘤,1,男,8,70-79歲,1
97,3101,臺北縣板橋市,009,鼻咽惡性腫瘤,1,男,9,80-89歲,1
97,3101,臺北縣板橋市,009,鼻咽惡性腫瘤,2,女,5,40-49歲,2
97,3101,臺北縣板橋市,009,鼻咽惡性腫瘤,2,女,6,50-59歲,1
97,3101,臺北縣板橋市,009,鼻咽惡性腫瘤,2,女,9,80-89歲,1
97,3101,臺北縣板橋市,010,食道惡性腫瘤,1,男,5,40-49歲,5
97,3101,臺北縣板橋市,010,食道惡性腫瘤,1,男,6,50-59歲,12
97,3101,臺北縣板橋市,010,食道惡性腫瘤,1,男,7,60-69歲,6
97,3101,臺北縣板橋市,010,食道惡性腫瘤,1,男,8,70-79歲,5
97,3101,臺北縣板橋市,010,食道惡性腫瘤,1,男,9,80-89歲,3
97,3101,臺北縣板橋市,010,食道惡性腫瘤,2,女,5,40-49歲,1
97,3101,臺北縣板橋市,010,食道惡性腫瘤,2,女,6,50-59歲,3
97,3101,臺北縣板橋市,010,食道惡性腫瘤,2,女,8,70-79歲,1
97,3101,臺北縣板橋市,011,胃惡性腫瘤,1,男,5,40-49歲,1
97,3101,臺北縣板橋市,011,胃惡性腫瘤,1,男,6,50-59歲,7
97,3101,臺北縣板橋市,011,胃惡性腫瘤,1,男,7,60-69歲,3
97,3101,臺北縣板橋市,011,胃惡性腫瘤,1,男,8,70-79歲,5
97,3101,臺北縣板橋市,011,胃惡性腫瘤,1,男,9,80-89歲,6
97,3101,臺北縣板橋市,011,胃惡性腫瘤,1,男,10,90-99歲,3
97,3101,臺北縣板橋市,011,胃惡性腫瘤,2,女,4,30-39歲,1
97,3101,臺北縣板橋市,011,胃惡性腫瘤,2,女,5,40-49歲,4
97,3101,臺北縣板橋市,011,胃惡性腫瘤,2,女,6,50-59歲,1
97,3101,臺北縣板橋市,011,胃惡性腫瘤,2,女,7,60-69歲,3
97,3101,臺北縣板橋市,011,胃惡性腫瘤,2,女,8,70-79歲,2
97,3101,臺北縣板橋市,011,胃惡性腫瘤,2,女,9,80-89歲,3
97,3101,臺北縣板橋市,012,小腸惡性腫瘤,2,女,5,40-49歲,1
97,3101,臺北縣板橋市,013,結腸、直腸和肛門惡性腫瘤,1,男,3,20-29歲,1
97,3101,臺北縣板橋市,013,結腸、直腸和肛門惡性腫瘤,1,男,5,40-49歲,2
97,3101,臺北縣板橋市,013,結腸、直腸和肛門惡性腫瘤,1,男,6,50-59歲,6
97,3101,臺北縣板橋市,013,結腸、直腸和肛門惡性腫瘤,1,男,7,60-69歲,6
97,3101,臺北縣板橋市,013,結腸、直腸和肛門惡性腫瘤,1,男,8,70-79歲,15
97,3101,臺北縣板橋市,013,結腸、直腸和肛門惡性腫瘤,1,男,9,80-89歲,20
97,3101,臺北縣板橋市,013,結腸、直腸和肛門惡性腫瘤,2,女,4,30-39歲,3
97,3101,臺北縣板橋市,013,結腸、直腸和肛門惡性腫瘤,2,女,5,40-49歲,5
97,3101,臺北縣板橋市,013,結腸、直腸和肛門惡性腫瘤,2,女,6,50-59歲,9
97,3101,臺北縣板橋市,013,結腸、直腸和肛門惡性腫瘤,2,女,7,60-69歲,7
97,3101,臺北縣板橋市,013,結腸、直腸和肛門惡性腫瘤,2,女,8,70-79歲,6
97,3101,臺北縣板橋市,013,結腸、直腸和肛門惡性腫瘤,2,女,9,80-89歲,8
97,3101,臺北縣板橋市,014,肝細胞癌,1,男,4,30-39歲,1
97,3101,臺北縣板橋市,014,肝細胞癌,1,男,5,40-49歲,1
97,3101,臺北縣板橋市,014,肝細胞癌,1,男,6,50-59歲,1
97,3101,臺北縣板橋市,014,肝細胞癌,1,男,7,60-69歲,2
97,3101,臺北縣板橋市,014,肝細胞癌,2,女,9,80-89歲,1
97,3101,臺北縣板橋市,015,肝內膽管癌,1,男,4,30-39歲,1
97,3101,臺北縣板橋市,015,肝內膽管癌,1,男,5,40-49歲,1
97,3101,臺北縣板橋市,015,肝內膽管癌,1,男,6,50-59歲,5
97,3101,臺北縣板橋市,015,肝內膽管癌,1,男,7,60-69歲,1
97,3101,臺北縣板橋市,015,肝內膽管癌,1,男,8,70-79歲,2
97,3101,臺北縣板橋市,015,肝內膽管癌,1,男,9,80-89歲,1
97,3101,臺北縣板橋市,015,肝內膽管癌,1,男,10,90-99歲,1
97,3101,臺北縣板橋市,015,肝內膽管癌,2,女,7,60-69歲,3
97,3101,臺北縣板橋市,015,肝內膽管癌,2,女,9,80-89歲,2
97,3101,臺北縣板橋市,016,其他肝和肝內膽管惡性腫瘤,1,男,3,20-29歲,1
97,3101,臺北縣板橋市,016,其他肝和肝內膽管惡性腫瘤,1,男,4,30-39歲,2
97,3101,臺北縣板橋市,016,其他肝和肝內膽管惡性腫瘤,1,男,5,40-49歲,9
97,3101,臺北縣板橋市,016,其他肝和肝內膽管惡性腫瘤,1,男,6,50-59歲,31
97,3101,臺北縣板橋市,016,其他肝和肝內膽管惡性腫瘤,1,男,7,60-69歲,23
97,3101,臺北縣板橋市,016,其他肝和肝內膽管惡性腫瘤,1,男,8,70-79歲,15
97,3101,臺北縣板橋市,016,其他肝和肝內膽管惡性腫瘤,1,男,9,80-89歲,12
